Food product,Land use change,Animal Feed,Farm,Processing,Transport,Packaging,Retail,Total_emissions,Eutrophying emissions per 1000kcal (gPO₄eq per 1000kcal),Eutrophying emissions per kilogram (gPO₄eq per kilogram),Eutrophying emissions per 100g protein (gPO₄eq per 100 grams protein),Freshwater withdrawals per 1000kcal (liters per 1000kcal),Freshwater withdrawals per 100g protein (liters per 100g protein),Freshwater withdrawals per kilogram (liters per kilogram),Greenhouse gas emissions per 1000kcal (kgCO₂eq per 1000kcal),Greenhouse gas emissions per 100g protein (kgCO₂eq per 100g protein),Land use per 1000kcal (m² per 1000kcal),Land use per kilogram (m² per kilogram),Land use per 100g protein (m² per 100g protein),Scarcity-weighted water use per kilogram (liters per kilogram),Scarcity-weighted water use per 100g protein (liters per 100g protein),Scarcity-weighted water use per 1000kcal (liters per 1000 kilocalories),Category,Total Water Use,Total Land Use,Food Type,Cluster,PCA1,PCA2
Wheat & Rye (Bread),0.1,0.0,0.8,0.2,0.1,0.1,0.1,-0.4405171592125264,7.0,11.46,37.33333333,338.0594129,1083.3272725,417.1,1.351351351,6.5,2.976244344,6.865,7.936313533,14533.05,20917.213595,12605.25679,Plant-Based,-0.4335943077251864,-0.3039569385093896,Cereals & Grains,0,-0.6073795682223692,-0.30102898464542266
Maize (Meal),0.3,0.0,0.5,0.1,0.1,0.1,0.0,-0.4694218965158916,7.0,11.46,37.33333333,338.0594129,1083.3272725,417.1,1.351351351,6.5,2.976244344,6.865,7.936313533,14533.05,20917.213595,12605.25679,Plant-Based,-0.4335943077251864,-0.3024919906089714,Cereals & Grains,0,-0.6261632817836096,-0.29531974208343803
Barley (Beer),0.0,0.0,0.2,0.1,0.0,0.5,0.3,-0.4694218965158916,7.0,11.46,37.33333333,338.0594129,1083.3272725,417.1,1.351351351,6.5,2.976244344,6.865,7.936313533,14533.05,20917.213595,12605.25679,Plant-Based,-0.4335943077251864,-0.3046894124595987,Cereals & Grains,0,-0.6276910864324332,-0.29508998314457474
Oatmeal,0.0,0.0,1.4,0.0,0.1,0.1,0.0,-0.4212473343436164,4.281357225,11.23,8.638461538,183.9115517,371.0769231,482.4,0.945482272,1.907692308,2.897445673,7.6,5.846153846,18786.2,14450.92308,7162.104461,Plant-Based,-0.5119997468461396,-0.3151927838887949,Cereals & Grains,0,-0.6190337741927874,-0.38009941370483147
Rice,0.0,0.0,3.6,0.1,0.1,0.1,0.1,-0.190009435916695,9.51437873,35.07,49.3943662,609.9837222,3166.760563,2248.4,1.207270754,6.267605634,0.7596310359999999,2.8,3.943661972,49576.3,69825.77465,13449.891480000002,Plant-Based,0.3913361285113564,-0.3799457262005091,Cereals & Grains,0,-0.3092698473126511,0.4592758853442019
Potatoes,0.0,0.0,0.2,0.0,0.1,0.0,0.0,-0.5465011959915321,4.7540983610000005,3.48,20.47058824,80.73770492,347.6470588,59.1,0.628415301,2.705882353,1.202185792,0.88,5.176470588,2754.2,16201.17647,3762.568306,Plant-Based,-0.6810145378289415,-0.3817376257732791,Root & Tubers,0,-0.7878506209996996,-0.5122936507017526
Cassava,0.6,0.0,0.2,0.0,0.1,0.0,0.0,-0.4886917213848017,0.708418891,0.69,7.666666667,338.0594129,1083.3272725,0.0,1.35523614,14.66666667,1.858316222,1.81,20.11111111,0.0,20917.213595,12605.25679,Plant-Based,-0.5721917863219188,-0.256332438474912,Root & Tubers,0,-0.6373996291403811,-0.43117884808766155
Cane Sugar,1.2,0.0,0.5,0.0,0.8,0.1,0.0,-0.3248982099990658,4.820512821,16.92,37.33333333,176.66666669999998,1083.3272725,620.1,0.911680912,6.5,0.581196581,2.04,7.936313533,16438.6,20917.213595,4683.361822999999,Plant-Based,-0.4889839581518594,-0.3487846941137195,Sugars,0,-0.5713786068056913,-0.3737198924953951
Beet Sugar,0.0,0.0,0.5,0.2,0.6,0.1,0.0,-0.4405171592125264,1.541310541,5.41,37.33333333,62.02279202,1083.3272725,217.7,0.515669516,6.5,0.5213675210000001,1.83,7.936313533,9493.3,20917.213595,2704.643875,Plant-Based,-0.5765086561581885,-0.3595508090908229,Sugars,0,-0.6770990635341615,-0.43436017375641744
Other Pulses,0.0,0.0,1.1,0.0,0.1,0.4,0.0,-0.4212473343436164,5.008797653999999,17.08,7.97758057,338.0594129,203.503036,435.7,0.524926686,0.836057917,4.565982405,15.57,7.272302662,22477.4,10498.55208,12605.25679,Plant-Based,-0.4645168633468461,-0.2341468445771436,Legumes & Pulses,0,-0.552363036878294,-0.342343253742634
